Participant,Session,Radius_pre,Radius_post,Metric_pre,Metric_post,Correlation,p_value,Network
P1,S1,5,5,ZCR,ZCR,-0.5092436100418057,0.0015139754209044969,SalVentAttn
P1,S1,5,5,ZCR,Salience,0.05773483807998375,0.7380303444911079,SalVentAttn
P1,S1,5,5,ZCR,Entrainment,0.1777280757092146,0.29972686657317027,SalVentAttn
P1,S1,5,5,ZCR,Fluidity,-0.08884431779850262,0.6063615803930528,SalVentAttn
P1,S1,5,5,ZCR,Complexity,-0.07417277598802632,0.6672512060773004,SalVentAttn
P1,S1,5,5,Salience,ZCR,0.23124709286721262,0.17478367299560488,SalVentAttn
P1,S1,5,5,Salience,Salience,0.27506114200529563,0.104458082148033,SalVentAttn
P1,S1,5,5,Salience,Entrainment,0.15990056861795468,0.35156528139452214,SalVentAttn
P1,S1,5,5,Salience,Fluidity,0.03314289158581904,0.8478269017807392,SalVentAttn
P1,S1,5,5,Salience,Complexity,-0.08134065635145737,0.637210319741653,SalVentAttn
P1,S1,5,5,Entrainment,ZCR,0.46501211348968546,0.004269292086889448,SalVentAttn
P1,S1,5,5,Entrainment,Salience,-0.21528615173068982,0.20731663963147062,SalVentAttn
P1,S1,5,5,Entrainment,Entrainment,-0.035879949653055784,0.8354250839369588,SalVentAttn
P1,S1,5,5,Entrainment,Fluidity,0.19864633146558716,0.24546548194347756,SalVentAttn
P1,S1,5,5,Entrainment,Complexity,-0.14785962631734154,0.38946231160548894,SalVentAttn
P1,S1,5,5,Fluidity,ZCR,0.25026755617766305,0.1409791357239668,SalVentAttn
P1,S1,5,5,Fluidity,Salience,-0.25881322872673407,0.12746395425634804,SalVentAttn
P1,S1,5,5,Fluidity,Entrainment,-0.12942383074327884,0.4518646141710535,SalVentAttn
P1,S1,5,5,Fluidity,Fluidity,0.16953601604724727,0.32290955863576454,SalVentAttn
P1,S1,5,5,Fluidity,Complexity,0.009858874405096599,0.9544918815225685,SalVentAttn
P1,S1,5,5,Complexity,ZCR,-0.4227567065081459,0.010207421440299388,SalVentAttn
P1,S1,5,5,Complexity,Salience,0.049175394679742704,0.775788368715172,SalVentAttn
P1,S1,5,5,Complexity,Entrainment,-0.04328733269042218,0.8020651725855812,SalVentAttn
P1,S1,5,5,Complexity,Fluidity,-0.17310370133296715,0.31267965657423763,SalVentAttn
P1,S1,5,5,Complexity,Complexity,0.22968000705172942,0.1778060429397621,SalVentAttn
P1,S1,5,50,ZCR,ZCR,-0.2271631531354042,0.18273763702799484,SalVentAttn
P1,S1,5,50,ZCR,Salience,-0.040386385549687834,0.8150923006872859,SalVentAttn
P1,S1,5,50,ZCR,Entrainment,0.06694030404549926,0.6980879759933764,SalVentAttn
P1,S1,5,50,ZCR,Fluidity,-0.01692893689066205,0.9219356289564973,SalVentAttn
P1,S1,5,50,ZCR,Complexity,0.013030503763861188,0.9398750562143408,SalVentAttn
P1,S1,5,50,Salience,ZCR,-0.0476962225921034,0.7823677209766938,SalVentAttn
P1,S1,5,50,Salience,Salience,0.27988731264315175,0.0982722360939039,SalVentAttn
P1,S1,5,50,Salience,Entrainment,0.1282541957000116,0.4559972151069507,SalVentAttn
P1,S1,5,50,Salience,Fluidity,0.020517745051277944,0.9054542665899725,SalVentAttn
P1,S1,5,50,Salience,Complexity,-0.17176679112999205,0.31648893234876185,SalVentAttn
P1,S1,5,50,Entrainment,ZCR,0.2808784145427501,0.09703723453606647,SalVentAttn
P1,S1,5,50,Entrainment,Salience,-0.2534616080519721,0.13580978261621415,SalVentAttn
P1,S1,5,50,Entrainment,Entrainment,-0.035769700276597996,0.835923898292017,SalVentAttn
